Ft,Fs,Depth
0.50452,70.727,13.331
0.50304,70.599,13.336
0.50229,70.466,13.34
0.50206,70.335,13.345
0.5024,70.203,13.349
0.50284,70.071,13.355
0.50231,69.938,13.359
0.50176,69.81,13.366
0.50203,69.679,13.37
0.5035,69.553,13.379
0.50248,69.426,13.386
0.50285,69.304,13.391
0.50228,69.178,13.397
0.50201,69.059,13.404
0.50278,68.937,13.409
0.50396,68.816,13.416
0.50148,68.698,13.422
0.50037,68.579,13.427
0.49919,68.462,13.432
0.49758,68.344,13.438
0.49682,68.228,13.444
0.49695,68.115,13.45
0.496,68.004,13.455
0.49567,67.894,13.462
0.49557,67.785,13.469
0.49559,67.681,13.473
0.4945,67.574,13.479
0.49377,67.47,13.485
0.49276,67.358,13.491
0.4904,67.248,13.498
0.491,67.138,13.503
0.48972,67.031,13.509
0.48816,66.92,13.514
0.48605,66.809,13.518
0.48467,66.695,13.523
0.484,66.586,13.53
0.48273,66.478,13.535
0.48238,66.367,13.542
0.48311,66.257,13.549
0.48379,66.149,13.556
0.48423,66.039,13.561
0.4848,65.926,13.567
0.48289,65.814,13.573
0.48271,65.703,13.578
0.48293,65.589,13.586
0.48216,65.474,13.592
0.48558,65.358,13.6
0.48653,65.237,13.605
0.48515,65.119,13.611
0.48496,65.004,13.618
0.48483,64.883,13.624
0.4846,64.761,13.629
0.48539,64.641,13.634
0.48512,64.52,13.64
0.48518,64.397,13.647
0.4848,64.275,13.654
0.48543,64.151,13.661
0.48514,64.026,13.667
0.48523,63.902,13.674
0.48651,63.774,13.682
0.48736,63.646,13.688
0.48734,63.519,13.695
0.4851,63.392,13.701
0.48625,63.265,13.708
0.48826,63.133,13.715
0.48825,63.002,13.721
0.48859,62.874,13.728
0.48917,62.743,13.735
0.49126,62.612,13.743
0.4938,62.475,13.751
0.49595,62.34,13.759
0.49634,62.202,13.765
0.49733,62.06,13.771
0.49816,61.925,13.778
0.49864,61.788,13.785
0.49816,61.651,13.792
0.49865,61.514,13.8
0.49904,61.373,13.806
0.50048,61.233,13.812
0.50029,61.093,13.82
0.50186,60.953,13.83
0.50258,60.812,13.836
0.5016,60.67,13.843
0.50474,60.523,13.85
0.50672,60.377,13.855
0.50721,60.235,13.863
0.50691,60.093,13.869
0.50863,59.948,13.877
0.50975,59.801,13.884
0.51002,59.651,13.892
0.51033,59.501,13.9
0.51011,59.35,13.906
0.51015,59.197,13.912
0.51012,59.043,13.919
0.51063,58.888,13.925
0.51012,58.731,13.932
0.51196,58.574,13.938
0.51249,58.416,13.945
0.51314,58.258,13.953
0.51497,58.094,13.96
0.51419,57.936,13.966
0.51314,57.775,13.973
0.51453,57.611,13.98
0.51604,57.448,13.985
0.51596,57.28,13.991
0.5186,57.114,13.997
0.51885,56.952,14.004
0.51739,56.791,14.011
0.51693,56.625,14.018
0.51671,56.456,14.023
0.51751,56.29,14.03
0.51899,56.118,14.035
0.5193,55.95,14.042
0.52028,55.777,14.047
0.52161,55.607,14.053
0.52282,55.434,14.059
0.52368,55.263,14.065
0.52449,55.092,14.07
0.52427,54.913,14.076
0.52382,54.734,14.082
0.52528,54.56,14.088
0.52483,54.387,14.094
0.52626,54.211,14.101
0.52564,54.032,14.106
0.52518,53.855,14.112
0.52401,53.675,14.116
0.52346,53.498,14.122
0.52363,53.319,14.127
0.52371,53.139,14.131
0.52287,52.957,14.136
0.52256,52.775,14.14
0.52187,52.594,14.146
0.52181,52.414,14.151
0.52243,52.23,14.156
0.52352,52.046,14.159
0.52177,51.863,14.162
0.52196,51.679,14.166
0.52163,51.493,14.171
0.52093,51.312,14.174
0.52093,51.13,14.178
0.52093,50.948,14.183
0.52,50.761,14.186
0.51845,50.577,14.189
0.51934,50.393,14.193
0.51876,50.212,14.196
0.51921,50.023,14.2
0.51899,49.838,14.203
0.5174,49.653,14.206
0.51819,49.465,14.209
0.51869,49.278,14.212
0.51883,49.089,14.214
0.51844,48.902,14.216
0.51781,48.715,14.218
0.5193,48.528,14.221
0.5197,48.344,14.223
0.51994,48.157,14.225
0.51954,47.972,14.227
0.51926,47.787,14.23
